symbol,strategy,entry_time,exit_time,actual_entry_close,slippage_entry_price,actual_exit_close,slippage_exit_price,qty,side,pnl,equity
cash_PFIZER,MovingAverage,2024-08-05 09:42:00,2024-08-05 09:43:00,5580.0,5582.79,5578.15,5575.360925,50,LONG,-371.4537500000006,-19667.397499997947
cash_ACC,MovingAverage,2024-08-05 09:41:00,2024-08-05 09:44:00,2426.1,2427.3130499999997,2434.95,2433.732525,50,LONG,320.9737500000074,-19346.42374999794
cash_AMBUJACEM,MovingAverage,2024-08-05 09:43:00,2024-08-05 09:47:00,648.5,648.82425,648.85,648.525575,50,LONG,-14.933750000000146,-19361.35749999794
cash_ACC,MovingAverage,2024-08-05 09:54:00,2024-08-05 10:00:00,2435.95,2437.167975,2420.0,2418.79,50,LONG,-918.8987499999939,-20280.256249997932
cash_ACC,MovingAverage,2024-08-05 10:04:00,2024-08-05 10:06:00,2421.85,2423.0609249999998,2416.5,2415.2917500000003,50,LONG,-388.4587499999725,-20668.714999997905
cash_ACC,MovingAverage,2024-08-05 10:15:00,2024-08-05 10:22:00,2416.6,2417.8082999999997,2422.5,2421.28875,50,LONG,174.02250000002368,-20494.69249999788
cash_ACC,MovingAverage,2024-08-05 10:24:00,2024-08-05 10:27:00,2416.8,2418.0084,2413.55,2412.3432250000005,50,LONG,-283.2587499999818,-20777.951249997863
cash_PFIZER,MovingAverage,2024-08-05 10:33:00,2024-08-05 10:34:00,5652.85,5655.676425,5655.45,5652.622275,50,LONG,-152.7074999999968,-20930.65874999786
cash_ACC,MovingAverage,2024-08-05 10:35:00,2024-08-05 10:36:00,2405.5,2406.70275,2407.0,2405.7965,50,LONG,-45.3125,-20975.97124999786
cash_ACC,MovingAverage,2024-08-05 10:41:00,2024-08-05 10:42:00,2400.55,2401.750275,2398.55,2397.3507250000002,50,LONG,-219.97749999998177,-21195.948749997842
cash_PFIZER,MovingAverage,2024-08-05 10:45:00,2024-08-05 10:47:00,5651.6,5654.4258,5651.55,5648.724225000001,50,LONG,-285.0787499999569,-21481.0274999978
cash_ACC,MovingAverage,2024-08-05 10:47:00,2024-08-05 10:49:00,2397.75,2398.948875,2393.0,2391.8035,50,LONG,-357.2687500000029,-21838.296249997802
cash_PFIZER,MovingAverage,2024-08-05 10:51:00,2024-08-05 10:52:00,5652.0,5654.826,5658.65,5655.820675,50,LONG,49.73374999999578,-21788.562499997806
cash_ACC,MovingAverage,2024-08-05 10:53:00,2024-08-05 10:57:00,2395.5,2396.69775,2387.5,2386.30625,50,LONG,-519.5749999999862,-22308.137499997792
cash_AMBUJACEM,MovingAverage,2024-08-05 10:59:00,2024-08-05 11:00:00,640.05,640.3700249999999,640.4,640.0798,50,LONG,-14.5112499999982,-22322.648749997792
cash_ACC,MovingAverage,2024-08-05 11:02:00,2024-08-05 11:03:00,2391.75,2392.945875,2390.25,2389.0548750000003,50,LONG,-194.54999999998108,-22517.198749997773
cash_PFIZER,MovingAverage,2024-08-05 11:04:00,2024-08-05 11:05:00,5618.55,5621.359275,5603.85,5601.048075000001,50,LONG,-1015.5599999999595,-23532.75874999773
cash_ACC,MovingAverage,2024-08-05 11:05:00,2024-08-05 11:10:00,2388.4,2389.5942,2383.0,2381.8085,50,LONG,-389.2849999999953,-23922.043749997727
cash_ACC,MovingAverage,2024-08-05 11:12:00,2024-08-05 11:13:00,2383.0,2384.1915,2379.25,2378.060375,50,LONG,-306.5562499999942,-24228.59999999772
cash_PFIZER,MovingAverage,2024-08-05 11:15:00,2024-08-05 11:16:00,5590.0,5592.795,5595.35,5592.552325000001,50,LONG,-12.133749999975407,-24240.733749997697
cash_ACC,MovingAverage,2024-08-05 11:14:00,2024-08-05 11:17:00,2378.3,2379.48915,2368.0,2366.8160000000003,50,LONG,-633.6574999999812,-24874.39124999768
cash_ACC,MovingAverage,2024-08-05 11:23:00,2024-08-05 11:28:00,2353.05,2354.226525,2367.15,2365.966425,50,LONG,586.9950000000017,-24287.396249997677
cash_PFIZER,MovingAverage,2024-08-05 11:28:00,2024-08-05 11:30:00,5567.65,5570.433824999999,5574.2,5571.4129,50,LONG,48.95375000005515,-24238.44249999762
cash_ACC,MovingAverage,2024-08-05 11:30:00,2024-08-05 11:35:00,2366.3,2367.48315,2358.55,2357.370725,50,LONG,-505.62124999999014,-24744.06374999761
cash_ACC,MovingAverage,2024-08-05 11:36:00,2024-08-05 11:41:00,2364.45,2365.632225,2376.2,2375.0119,50,LONG,468.9837500000067,-24275.079999997604
cash_PFIZER,MovingAverage,2024-08-05 11:56:00,2024-08-05 11:57:00,5578.05,5580.839025,5579.25,5576.460375000001,50,LONG,-218.9324999999826,-24494.01249999759
cash_AMBUJACEM,MovingAverage,2024-08-05 11:57:00,2024-08-05 11:59:00,639.8,640.1198999999999,639.5,639.18025,50,LONG,-46.98249999999575,-24540.994999997583
cash_ACC,MovingAverage,2024-08-05 12:03:00,2024-08-05 12:04:00,2371.75,2372.9358749999997,2368.05,2366.865975,50,LONG,-303.49499999997533,-24844.48999999756
cash_ACC,MovingAverage,2024-08-05 12:12:00,2024-08-05 12:16:00,2372.6,2373.7862999999998,2375.0,2373.8125,50,LONG,1.3100000000122236,-24843.17999999755
cash_ACC,MovingAverage,2024-08-05 12:35:00,2024-08-05 12:36:00,2352.65,2353.826325,2357.8,2356.6211000000003,50,LONG,139.738750000015,-24703.441249997533
cash_PFIZER,MovingAverage,2024-08-05 12:48:00,2024-08-05 12:49:00,5560.0,5562.78,5565.55,5562.7672250000005,50,LONG,-0.638749999961874,-24704.079999997495
cash_ACC,MovingAverage,2024-08-05 12:52:00,2024-08-05 12:53:00,2350.0,2351.1749999999997,2347.5,2346.32625,50,LONG,-242.43749999998272,-24946.517499997477
cash_PFIZER,MovingAverage,2024-08-05 13:08:00,2024-08-05 13:09:00,5570.05,5572.835025,5575.7,5572.91215,50,LONG,3.8562499999898137,-24942.661249997487
cash_ACC,MovingAverage,2024-08-05 13:09:00,2024-08-05 13:19:00,2352.5,2353.67625,2364.15,2362.9679250000004,50,LONG,464.5837500000198,-24478.077499997467
cash_ACC,MovingAverage,2024-08-05 13:21:00,2024-08-05 13:22:00,2367.25,2368.4336249999997,2363.2,2362.0184,50,LONG,-320.76124999998683,-24798.838749997456
cash_ACC,MovingAverage,2024-08-05 13:27:00,2024-08-05 13:28:00,2366.45,2367.6332249999996,2367.15,2365.966425,50,LONG,-83.33999999997559,-24882.17874999743
cash_PFIZER,MovingAverage,2024-08-05 13:40:00,2024-08-05 13:43:00,5605.8,5608.6029,5605.75,5602.947125000001,50,LONG,-282.78874999996333,-25164.967499997394
cash_ACC,MovingAverage,2024-08-05 13:41:00,2024-08-05 13:45:00,2375.0,2376.1875,2372.65,2371.4636750000004,50,LONG,-236.19124999997894,-25401.158749997372
cash_AMBUJACEM,MovingAverage,2024-08-05 13:43:00,2024-08-05 13:48:00,640.7,641.02035,642.25,641.9288750000001,50,LONG,45.42625000000271,-25355.732499997368
cash_ACC,MovingAverage,2024-08-05 13:52:00,2024-08-05 13:55:00,2375.65,2376.837825,2375.1,2373.9124500000003,50,LONG,-146.26874999999018,-25502.00124999736
cash_PFIZER,MovingAverage,2024-08-05 13:56:00,2024-08-05 13:58:00,5580.0,5582.79,5589.9,5587.10505,50,LONG,215.75250000000779,-25286.24874999735
cash_ACC,MovingAverage,2024-08-05 14:04:00,2024-08-05 14:07:00,2386.85,2388.043425,2382.45,2381.258775,50,LONG,-339.2325000000028,-25625.481249997352
cash_PFIZER,MovingAverage,2024-08-05 14:00:00,2024-08-05 14:10:00,5590.0,5592.795,5578.2,5575.4109,50,LONG,-869.2050000000108,-26494.686249997365
cash_ACC,MovingAverage,2024-08-05 14:10:00,2024-08-05 14:12:00,2382.25,2383.441125,2383.4,2382.2083000000002,50,LONG,-61.641249999979664,-26556.327499997344
cash_PFIZER,MovingAverage,2024-08-05 14:28:00,2024-08-05 14:34:00,5570.9,5573.685449999999,5575.0,5572.212500000001,50,LONG,-73.64749999992455,-26629.97499999727
cash_ACC,MovingAverage,2024-08-05 14:40:00,2024-08-05 14:43:00,2369.65,2370.834825,2376.25,2375.0618750000003,50,LONG,211.35250000002088,-26418.622499997247
cash_PFIZER,MovingAverage,2024-08-05 14:44:00,2024-08-05 14:46:00,5570.45,5573.235224999999,5576.0,5573.212,50,LONG,-1.161249999950087,-26419.783749997197
cash_ACC,MovingAverage,2024-08-05 14:52:00,2024-08-05 14:55:00,2379.8,2380.9899,2380.15,2378.959925,50,LONG,-101.49874999999611,-26521.282499997193
cash_PFIZER,MovingAverage,2024-08-05 14:48:00,2024-08-05 14:58:00,5571.45,5574.235725,5576.05,5573.261975,50,LONG,-48.68749999995998,-26569.969999997153
cash_ACC,MovingAverage,2024-08-05 14:58:00,2024-08-05 15:00:00,2380.05,2381.240025,2375.0,2373.8125,50,LONG,-371.376250000003,-26941.346249997157
cash_PFIZER,MovingAverage,2024-08-05 15:16:00,2024-08-05 15:22:00,5576.15,5578.938074999999,5550.1,5547.324950000001,50,LONG,-1580.6562499999018,-28522.00249999706
cash_ACC,MovingAverage,2024-08-05 15:22:00,2024-08-05 15:24:00,2382.2,2383.3911,2377.05,2375.861475,50,LONG,-376.48124999998345,-28898.48374999704
cash_ACC,MovingAverage,2024-08-06 09:25:00,2024-08-06 09:28:00,2410.2,2411.4050999999995,2410.65,2409.444675,50,LONG,-98.02124999996522,-28996.504999997007
cash_PFIZER,MovingAverage,2024-08-06 09:21:00,2024-08-06 09:31:00,5568.45,5571.234224999999,5619.65,5616.840175,50,LONG,2280.2975000000515,-26716.207499996955
cash_ACC,MovingAverage,2024-08-06 09:31:00,2024-08-06 09:33:00,2405.3,2406.50265,2403.3,2402.09835,50,LONG,-220.21499999998468,-26936.42249999694
cash_PFIZER,MovingAverage,2024-08-06 09:49:00,2024-08-06 09:55:00,5622.55,5625.361275,5616.2,5613.3919000000005,50,LONG,-598.4687499999836,-27534.891249996923
cash_ACC,MovingAverage,2024-08-06 10:01:00,2024-08-06 10:04:00,2421.0,2422.2104999999997,2426.55,2425.336725,50,LONG,156.31125000002157,-27378.579999996902
